Google,Unified,Name
1040384,9728,:sunny:
1040385,9729,:cloud:
1040386,9748,:umbrella:
1040387,9924,:snowman:
1040388,9889,:zap:
1040389,127744,:cyclone:
1040390,127745,:foggy:
1040391,127746,:closed_umbrella:
1040392,127747,:night_with_stars:
1040393,127748,:sunrise_over_mountains:
1040394,127749,:sunrise:
1040395,127750,:city_sunset:
1040396,127751,:city_sunrise:
1040397,127752,:rainbow:
1040398,10052,:snowflake:
1040399,9925,:partly_sunny:
1040400,127753,:bridge_at_night:
1040401,127761,:new_moon:
1040402,127764,:moon:
1040403,127763,:first_quarter_moon:
1040404,127769,:crescent_moon:
1040405,127765,:full_moon:
1040406,127771,:first_quarter_moon_with_face:
1040407,127889,:rice_scene:
1040408,128284,:soon:
1040409,128283,:on:
1040410,128282,:end:
1040411,9203,:hourglass_flowing_sand:
1040412,8987,:hourglass:
1040413,8986,:watch:
1040414,128336,:clock1:
1040415,128337,:clock2:
1040416,128338,:clock3:
1040417,128339,:clock4:
1040418,128340,:clock5:
1040419,128341,:clock6:
1040420,128342,:clock7:
1040421,128343,:clock8:
1040422,128344,:clock9:
1040423,128345,:clock10:
1040424,128346,:clock11:
1040425,128347,:clock12:
1040426,9200,:alarm_clock:
1040427,9800,:aries:
1040428,9801,:taurus:
1040429,9802,:gemini:
1040430,9803,:cancer:
1040431,9804,:leo:
1040432,9805,:virgo:
1040433,9806,:libra:
1040434,9807,:scorpius:
1040435,9808,:sagittarius:
1040436,9809,:capricorn:
1040437,9810,:aquarius:
1040438,9811,:pisces:
1040439,9934,:ophiuchus:
1040440,127754,:ocean:
1040441,127759,:earth_asia:
1040442,127755,:volcano:
1040443,127756,:milky_way:
1040444,127808,:four_leaf_clover:
1040445,127799,:tulip:
1040446,127793,:seedling:
1040447,127809,:maple_leaf:
1040448,127800,:cherry_blossom:
1040449,127801,:rose:
1040450,127810,:fallen_leaf:
1040451,127811,:leaves:
1040452,128304,:beginner:
1040453,127802,:hibiscus:
1040454,127803,:sunflower:
1040455,127796,:palm_tree:
1040456,127797,:cactus:
1040457,127806,:ear_of_rice:
1040458,127805,:corn:
1040459,127812,:mushroom:
1040460,127792,:chestnut:
1040461,127804,:blossom:
1040462,127807,:herb:
1040463,127826,:cherries:
1040464,127820,:banana:
1040465,127822,:apple:
1040466,127818,:tangerine:
1040467,127827,:strawberry:
1040468,127817,:watermelon:
1040469,127813,:tomato:
1040470,127814,:eggplant:
1040471,127816,:melon:
1040472,127821,:pineapple:
1040473,127815,:grapes:
1040474,127825,:peach:
1040475,127823,:green_apple:
1040784,128064,:eyes:
1040785,128066,:ear:
1040786,128067,:nose:
1040787,128068,:lips:
1040788,128069,:tongue:
1040789,128132,:lipstick:
1040790,128133,:nail_care:
1040791,128134,:massage:
1040792,128135,:haircut:
1040793,128136,:barber:
1040794,128100,:bust_in_silhouette:
1040795,128102,:boy:
1040796,128103,:girl:
1040797,128104,:man:
1040798,128105,:woman:
1040799,128106,:family:
1040800,128107,:couple:
1040801,128110,:cop:
1040802,128111,:dancers:
1040803,128112,:bride_with_veil:
1040804,128113,:person_with_blond_hair:
1040805,128114,:man_with_gua_pi_mao:
1040806,128115,:man_with_turban:
1040807,128116,:older_man:
1040808,128117,:older_woman:
1040809,128118,:baby:
1040810,128119,:construction_worker:
1040811,128120,:princess:
1040812,128121,:japanese_ogre:
1040813,128122,:japanese_goblin:
1040814,128123,:ghost:
1040815,128124,:angel:
1040816,128125,:alien:
1040817,128126,:space_invader:
1040818,128127,:imp:
1040819,128128,:skull:
1040820,128129,:information_desk_person:
1040821,128130,:guardsman:
1040822,128131,:dancer:
1040823,128054,:dog:
1040824,128049,:cat:
1040825,128012,:snail:
1040826,128036,:baby_chick:
1040827,128037,:hatched_chick:
1040828,128039,:penguin:
1040829,128031,:fish:
1040830,128052,:horse:
1040831,128055,:pig:
1040832,128047,:tiger:
1040833,128059,:bear:
1040834,128045,:mouse:
1040835,128051,:whale:
1040836,128053,:monkey_face:
1040837,128025,:octopus:
1040838,128026,:shell:
1040839,128044,:dolphin:
1040840,128038,:bird:
1040841,128032,:tropical_fish:
1040842,128057,:hamster:
1040843,128027,:bug:
1040844,128024,:elephant:
1040845,128040,:koala:
1040846,128018,:monkey:
1040847,128017,:sheep:
1040848,128058,:wolf:
1040849,128046,:cow:
1040850,128048,:rabbit:
1040851,128013,:snake:
1040852,128020,:chicken:
1040853,128023,:boar:
1040854,128043,:camel:
1040855,128056,:frog:
1040856,128041,:poodle:
1040857,128033,:blowfish:
1040858,128028,:ant:
1040859,128062,:feet:
1040860,128034,:turtle:
1040861,128035,:hatching_chick:
1040862,128050,:dragon_face:
1040863,128060,:panda_face:
1040864,128061,:pig_nose:
1040865,128029,:bee:
1040866,128030,:beetle:
1041184,128544,:angry:
1041185,128553,:weary:
1041186,128562,:astonished:
1041187,128542,:disappointed:
1041188,128565,:dizzy_face:
1041189,128560,:cold_sweat:
1041190,128530,:unamused:
1041191,128525,:heart_eyes:
1041192,128548,:triumph:
1041193,128540,:stuck_out_tongue_winking_eye:
1041194,128541,:stuck_out_tongue_closed_eyes:
1041195,128523,:yum:
1041196,128536,:kissing_heart:
1041197,128538,:kissing_closed_eyes:
1041198,128567,:mask:
1041199,128563,:flushed:
1041200,128515,:smiley:
1041201,128517,:sweat_smile:
1041202,128518,:laughing:
1041203,128513,:grin:
1041204,128514,:joy:
1041205,128522,:blush:
1041206,9786,:relaxed:
1041208,128516,:smile:
1041209,128546,:cry:
1041210,128557,:sob:
1041211,128552,:fearful:
1041212,128547,:persevere:
1041213,128545,:rage:
1041214,128524,:relieved:
1041215,128534,:confounded:
1041216,128532,:pensive:
1041217,128561,:scream:
1041218,128554,:sleepy:
1041219,128527,:smirk:
1041220,128531,:sweat:
1041221,128549,:disappointed_relieved:
1041222,128555,:tired_face:
1041223,128521,:wink:
1041224,128570,:smiley_cat:
1041225,128568,:smile_cat:
1041226,128569,:joy_cat:
1041227,128573,:kissing_cat:
1041228,128571,:heart_eyes_cat:
1041229,128575,:crying_cat_face:
1041230,128574,:pouting_cat:
1041231,128572,:smirk_cat:
1041232,128576,:scream_cat:
1041233,128581,:no_good:
1041234,128582,:ok_woman:
1041235,128583,:bow:
1041236,128584,:see_no_evil:
1041237,128586,:speak_no_evil:
1041238,128585,:hear_no_evil:
1041239,128587,:raising_hand:
1041240,128588,:raised_hands:
1041241,128589,:person_frowning:
1041242,128590,:person_with_pouting_face:
1041243,128591,:pray:
1041584,127968,:house:
1041585,127969,:house_with_garden:
1041586,127970,:office:
1041587,127971,:post_office:
1041588,127973,:hospital:
1041589,127974,:bank:
1041590,127975,:atm:
1041591,127976,:hotel:
1041592,127977,:love_hotel:
1041593,127978,:convenience_store:
1041594,127979,:school:
1041595,9962,:church:
1041596,9970,:fountain:
1041597,127980,:department_store:
1041598,127983,:japanese_castle:
1041599,127984,:european_castle:
1041600,127981,:factory:
1041601,9875,:anchor:
1041602,127982,:izakaya_lantern:
1041603,128507,:mount_fuji:
1041604,128508,:tokyo_tower:
1041606,128509,:statue_of_liberty:
1041607,128510,:japan:
1041608,128511,:moyai:
1041609,128295,:wrench:
1041610,128296,:hammer:
1041611,128297,:nut_and_bolt:
1041612,128094,:mans_shoe:
1041613,128095,:athletic_shoe:
1041614,128083,:eyeglasses:
1041615,128085,:shirt:
1041616,128086,:jeans:
1041617,128081,:crown:
1041618,128305,:trident:
1041619,128084,:necktie:
1041620,128082,:womans_hat:
1041621,128087,:dress:
1041622,128096,:high_heel:
1041623,128097,:sandal:
1041624,128098,:boot:
1041625,128088,:kimono:
1041626,128089,:bikini:
1041627,128090,:womans_clothes:
1041628,128091,:purse:
1041629,128176,:moneybag:
1041630,128177,:currency_exchange:
1041631,128185,:chart:
1041632,128178,:heavy_dollar_sign:
1041633,128179,:credit_card:
1041634,128180,:yen:
1041635,128181,:dollar:
1041636,128184,:money_with_wings:
1041637,1041637,:flag-jp:
1041638,1041638,:flag-us:
1041639,1041639,:flag-fr:
1041640,1041640,:flag-de:
1041641,1041641,:flag-it:
1041642,1041642,:flag-gb:
1041643,1041643,:flag-es:
1041644,1041644,:flag-ru:
1041645,1041645,:flag-cn:
1041646,1041646,:flag-kr:
1041647,128247,:camera:
1041648,128092,:handbag:
1041649,128093,:pouch:
1041650,128276,:bell:
1041651,128682,:door:
1041652,128169,:hankey:
1041653,128299,:gun:
1041654,128293,:fire:
1041655,128302,:crystal_ball:
1041656,128303,:six_pointed_star:
1041657,128249,:video_camera:
1041658,128298,:hocho:
1041659,128294,:flashlight:
1041660,128267,:battery:
1041661,128220,:scroll:
1041662,128268,:electric_plug:
1041663,128215,:green_book:
1041664,128216,:blue_book:
1041665,128217,:orange_book:
1041666,128213,:closed_book:
1041667,128218,:books:
1041668,128219,:name_badge:
1041669,128704,:bath:
1041670,128699,:restroom:
1041671,128701,:toilet:
1041672,128702,:wc:
1041673,128137,:syringe:
1041674,128138,:pill:
1041675,127344,:a:
1041676,127345,:b:
1041677,127374,:ab:
1041678,127358,:o2:
1041679,127872,:ribbon:
1041680,127873,:gift:
1041681,127874,:birthday:
1041682,127876,:christmas_tree:
1041683,127877,:santa:
1041684,127884,:crossed_flags:
1041685,127878,:fireworks:
1041686,127880,:balloon:
1041687,127881,:tada:
1041688,127885,:bamboo:
1041689,127886,:dolls:
1041690,127891,:mortar_board:
1041691,127890,:school_satchel:
1041692,127887,:flags:
1041693,127879,:sparkler:
1041694,127888,:wind_chime:
1041695,127875,:jack_o_lantern:
1041696,127882,:confetti_ball:
1041697,127883,:tanabata_tree:
1041698,128223,:pager:
1041699,9742,:phone:
1041700,128222,:telephone_receiver:
1041701,128241,:iphone:
1041702,128242,:calling:
1041703,128221,:memo:
1041704,128224,:fax:
1041705,9993,:email:
1041706,128232,:incoming_envelope:
1041707,128233,:envelope_with_arrow:
1041708,128234,:mailbox_closed:
1041709,128235,:mailbox:
1041710,128238,:postbox:
1041711,128226,:loudspeaker:
1041712,128227,:mega:
1041713,128225,:satellite:
1041714,128172,:speech_balloon:
1041715,128228,:outbox_tray:
1041716,128229,:inbox_tray:
1041717,128230,:package:
1041718,10002,:black_nib:
1041719,128186,:seat:
1041720,128187,:computer:
1041721,9999,:pencil2:
1041722,128206,:paperclip:
1041723,128188,:briefcase:
1041724,128189,:minidisc:
1041725,128190,:floppy_disk:
1041726,9986,:scissors:
1041727,128205,:round_pushpin:
1041728,128195,:page_with_curl:
1041729,128196,:page_facing_up:
1041730,128197,:date:
1041731,128193,:file_folder:
1041732,128194,:open_file_folder:
1041733,128211,:notebook:
1041734,128214,:book:
1041735,128212,:notebook_with_decorative_cover:
1041736,128203,:clipboard:
1041737,128198,:calendar:
1041738,128202,:bar_chart:
1041739,128200,:chart_with_upwards_trend:
1041740,128201,:chart_with_downwards_trend:
1041741,128199,:card_index:
1041742,128204,:pushpin:
1041743,128210,:ledger:
1041744,128207,:straight_ruler:
1041745,128208,:triangular_ruler:
1041746,128209,:bookmark_tabs:
1041747,128099,:footprints:
1042384,127933,:running_shirt_with_sash:
1042385,9918,:baseball:
1042386,9971,:golf:
1042387,127934,:tennis:
1042388,9917,:soccer:
1042389,127935,:ski:
1042390,127936,:basketball:
1042391,127937,:checkered_flag:
1042392,127938,:snowboarder:
1042393,127939,:runner:
1042394,127940,:surfer:
1042395,127942,:trophy:
1042396,128014,:racehorse:
1042397,127944,:football:
1042398,127946,:swimmer:
1042399,128643,:railway_car:
1042400,128647,:metro:
1042401,9410,:m:
1042402,128644,:bullettrain_side:
1042403,128645,:bullettrain_front:
1042404,128663,:car:
1042405,128665,:blue_car:
1042406,128652,:bus:
1042407,128655,:busstop:
1042408,128674,:ship:
1042409,9992,:airplane:
1042410,9973,:boat:
1042411,128690,:bike:
1042412,128649,:station:
1042413,128640,:rocket:
1042414,128676,:speedboat:
1042415,128661,:taxi:
1042416,128694,:walking:
1042417,128666,:truck:
1042418,128658,:fire_engine:
1042419,128657,:ambulance:
1042420,128659,:police_car:
1042421,9981,:fuelpump:
1042422,127359,:parking:
1042423,128677,:traffic_light:
1042424,128679,:construction:
1042425,128680,:rotating_light:
1042426,9832,:hotsprings:
1042427,9978,:tent:
1042428,127904,:carousel_horse:
1042429,127905,:ferris_wheel:
1042430,127906,:roller_coaster:
1042431,127907,:fishing_pole_and_fish:
1042432,127908,:microphone:
1042433,127909,:movie_camera:
1042434,127910,:cinema:
1042435,127911,:headphones:
1042436,127912,:art:
1042437,127913,:tophat:
1042438,127914,:circus_tent:
1042439,127915,:ticket:
1042440,127916,:clapper:
1042441,127917,:performing_arts:
1042442,127918,:video_game:
1042443,126980,:mahjong:
1042444,127919,:dart:
1042445,127920,:slot_machine:
1042446,127921,:8ball:
1042447,127922,:game_die:
1042448,127923,:bowling:
1042449,127924,:flower_playing_cards:
1042450,127183,:black_joker:
1042451,127925,:musical_note:
1042452,127926,:notes:
1042453,127927,:saxophone:
1042454,127928,:guitar:
1042455,127929,:musical_keyboard:
1042456,127930,:trumpet:
1042457,127931,:violin:
1042458,127932,:musical_score:
1042459,12349,:part_alternation_mark:
1042460,128250,:tv:
1042461,128191,:cd:
1042462,128192,:dvd:
1042463,128251,:radio:
1042464,128252,:vhs:
1042465,128266,:loud_sound:
1042466,128240,:newspaper:
1042467,128139,:kiss:
1042468,128140,:love_letter:
1042469,128141,:ring:
1042470,128142,:gem:
1042471,128143,:couplekiss:
1042472,128144,:bouquet:
1042473,128145,:couple_with_heart:
1042474,128146,:wedding:
1042475,10175,:loop:
1042476,1042476,:hash:
1042478,1042478,:one:
1042479,1042479,:two:
1042480,1042480,:three:
1042481,1042481,:four:
1042482,1042482,:five:
1042483,1042483,:six:
1042484,1042484,:seven:
1042485,1042485,:eight:
1042486,1042486,:nine:
1042487,1042487,:zero:
1042488,128246,:signal_strength:
1042489,128243,:vibration_mode:
1042490,128244,:mobile_phone_off:
1042491,128287,:keycap_ten:
1042784,127828,:hamburger:
1042785,127833,:rice_ball:
1042786,127856,:cake:
1042787,127836,:ramen:
1042788,127838,:bread:
1042789,127859,:egg:
1042790,127846,:icecream:
1042791,127839,:fries:
1042792,127841,:dango:
1042793,127832,:rice_cracker:
1042794,127834,:rice:
1042795,127837,:spaghetti:
1042796,127835,:curry:
1042797,127842,:oden:
1042798,127843,:sushi:
1042799,127857,:bento:
1042800,127858,:stew:
1042801,127847,:shaved_ice:
1042802,127830,:meat_on_bone:
1042803,127845,:fish_cake:
1042804,127840,:sweet_potato:
1042805,127829,:pizza:
1042806,127831,:poultry_leg:
1042807,127848,:ice_cream:
1042808,127849,:doughnut:
1042809,127850,:cookie:
1042810,127851,:chocolate_bar:
1042811,127852,:candy:
1042812,127853,:lollipop:
1042813,127854,:custard:
1042814,127855,:honey_pot:
1042815,127844,:fried_shrimp:
1042816,127860,:fork_and_knife:
1042817,9749,:coffee:
1042818,127864,:cocktail:
1042819,127866,:beer:
1042820,127861,:tea:
1042821,127862,:sake:
1042822,127863,:wine_glass:
1042823,127867,:beers:
1042824,127865,:tropical_drink:
1043184,8599,:arrow_upper_right:
1043185,8600,:arrow_lower_right:
1043186,8598,:arrow_upper_left:
1043187,8601,:arrow_lower_left:
1043188,10548,:arrow_heading_up:
1043189,10549,:arrow_heading_down:
1043190,8596,:left_right_arrow:
1043191,8597,:arrow_up_down:
1043192,11014,:arrow_up:
1043193,11015,:arrow_down:
1043194,10145,:arrow_right:
1043195,11013,:arrow_left:
1043196,9654,:arrow_forward:
1043197,9664,:arrow_backward:
1043198,9193,:fast_forward:
1043199,9194,:rewind:
1043200,128317,:arrow_down_small:
1043201,128316,:arrow_up_small:
1043202,9196,:arrow_double_down:
1043203,9195,:arrow_double_up:
1043204,10071,:exclamation:
1043205,8265,:interrobang:
1043206,8252,:bangbang:
1043207,12336,:wavy_dash:
1043208,10160,:curly_loop:
1043209,10067,:question:
1043210,10068,:grey_question:
1043211,10069,:grey_exclamation:
1043212,10084,:heart:
1043213,128147,:heartbeat:
1043214,128148,:broken_heart:
1043215,128149,:two_hearts:
1043216,128150,:sparkling_heart:
1043217,128151,:heartpulse:
1043218,128152,:cupid:
1043219,128153,:blue_heart:
1043220,128154,:green_heart:
1043221,128155,:yellow_heart:
1043222,128156,:purple_heart:
1043223,128157,:gift_heart:
1043224,128158,:revolving_hearts:
1043225,128159,:heart_decoration:
1043226,9829,:hearts:
1043227,9824,:spades:
1043228,9830,:diamonds:
1043229,9827,:clubs:
1043230,128684,:smoking:
1043231,128685,:no_smoking:
1043232,9855,:wheelchair:
1043233,127379,:free:
1043234,128681,:triangular_flag_on_post:
1043235,9888,:warning:
1043236,127489,:koko:
1043237,128286,:underage:
1043238,9940,:no_entry:
1043239,127383,:ok:
1043240,127382,:ng:
1043241,169,:copyright:
1043242,8482,:tm:
1043243,12953,:secret:
1043244,9851,:recycle:
1043245,174,:registered:
1043246,127538,:u7981:
1043247,127539,:u7a7a:
1043248,127540,:u5408:
1043249,127541,:u6e80:
1043250,127386,:vs:
1043251,128697,:mens:
1043252,128698,:womens:
1043253,128700,:baby_symbol:
1043254,127381,:new:
1043255,127385,:up:
1043256,127378,:cool:
1043257,127542,:u6709:
1043258,127514,:u7121:
1043259,127543,:u6708:
1043260,127544,:u7533:
1043261,127568,:ideograph_advantage:
1043262,127545,:u5272:
1043263,127490,:sa:
1043264,127535,:u6307:
1043265,127546,:u55b6:
1043266,128285,:top:
1043267,12951,:congratulations:
1043268,11093,:o:
1043269,10060,:x:
1043270,10062,:negative_squared_cross_mark:
1043271,8505,:information_source:
1043272,128683,:no_entry_sign:
1043273,10004,:heavy_check_mark:
1043274,9989,:white_check_mark:
1043275,128279,:link:
1043279,127384,:sos:
1043280,127569,:accept:
1043281,10133,:heavy_plus_sign:
1043282,10134,:heavy_minus_sign:
1043283,10006,:heavy_multiplication_x:
1043284,10135,:heavy_division_sign:
1043285,128160,:diamond_shape_with_a_dot_inside:
1043286,128161,:bulb:
1043287,128162,:anger:
1043288,128163,:bomb:
1043289,128164,:zzz:
1043290,128165,:boom:
1043291,128166,:sweat_drops:
1043292,128167,:droplet:
1043293,128168,:dash:
1043294,128170,:muscle:
1043295,128171,:dizzy:
1043296,10024,:sparkles:
1043297,10036,:eight_pointed_black_star:
1043298,10035,:eight_spoked_asterisk:
1043299,128308,:red_circle:
1043300,128306,:black_square_button:
1043300,128309,:large_blue_circle:
1043301,9898,:white_circle:
1043302,9899,:black_circle:
1043303,128307,:white_square_button:
1043304,11088,:star:
1043305,127775,:star2:
1043306,127776,:stars:
1043307,11036,:white_large_square:
1043308,11035,:black_large_square:
1043309,9643,:white_small_square:
1043310,9642,:black_small_square:
1043311,9725,:white_medium_small_square:
1043312,9726,:black_medium_small_square:
1043313,9723,:white_medium_square:
1043314,9724,:black_medium_square:
1043315,128310,:large_orange_diamond:
1043316,128311,:large_blue_diamond:
1043317,128312,:small_orange_diamond:
1043318,128313,:small_blue_diamond:
1043319,10055,:sparkle:
1043320,128314,:small_red_triangle:
1043321,128315,:small_red_triangle_down:
1043322,128174,:white_flower:
1043323,128175,:100:
1043324,128288,:capital_abcd:
1043325,128289,:abcd:
1043326,128290,:1234:
1043327,128291,:symbols:
1043328,128292,:abc:
1043329,127380,:id:
1043330,128273,:key:
1043331,8617,:leftwards_arrow_with_hook:
1043332,127377,:cl:
1043333,128269,:mag:
1043334,128274,:lock:
1043335,128275,:unlock:
1043336,8618,:arrow_right_hook:
1043338,128272,:closed_lock_with_key:
1043339,9745,:ballot_box_with_check:
1043340,128280,:radio_button:
1043341,128270,:mag_right:
1043342,128281,:back:
1043343,128278,:bookmark:
1043344,128271,:lock_with_ink_pen:
1043345,128259,:arrows_clockwise:
1043346,128231,:e-mail:
1043347,9994,:fist:
1043348,9996,:v:
1043349,9995,:hand:
1043350,128074,:facepunch:
1043351,128077,:+1:
1043352,9757,:point_up:
1043353,128070,:point_up_2:
1043354,128071,:point_down:
1043355,128072,:point_left:
1043356,128073,:point_right:
1043357,128075,:wave:
1043358,128079,:clap:
1043359,128076,:ok_hand:
1043360,128078,:-1:
1043361,128080,:open_hands: